Item_No,Topic_Concept,Domain,Skill_Tested,Claude_1,Claude_2,Claude_3,Claude_4,Claude_5,Gemini_1,Gemini_2,Gemini_3,Gemini_4,Gemini_5,ChatGPT_1,ChatGPT_2,ChatGPT_3,ChatGPT_4,ChatGPT_5,MCopilot_1,MCopilot_2,MCopilot_3,MCopilot_4,MCopilot_5,LLM_Mean,IRT,CTT
11,Mixed number addition,Numbers & Operations,Adding mixed numbers (2³⁄₅ + 1²⁄₃),18,20,17,20,18,24,18,18,25,22,18,12,10,16,14,14,18,12,14,14,17.10,0.328,0.426
12,Square root,Numbers & Operations,Finding square root (√196),10,6,13,15,10,10,10,8,10,9,3,9,4,5,6,5,7,6,5,7,7.90,-1.314,0.806
13,Exponents and addition,Numbers & Operations,Evaluating 3² + 4²,13,10,16,10,12,9,8,5,8,14,4,9,4,5,6,6,8,6,8,10,8.55,-1.551,0.855
14,Integer addition,Numbers & Operations,Adding integers (8 + (−3) + (−6)),13,10,13,18,16,10,9,7,10,11,4,5,3,4,5,7,8,6,6,7,8.60,-0.934,0.749
15,Exponent and multiplication,Numbers & Operations,Evaluating 2³ × 3,12,8,5,12,12,8,8,6,10,13,5,9,5,6,6,6,9,6,7,9,8.10,-1.518,0.832
16,Long division,Numbers & Operations,Dividing whole numbers (183 ÷ 6),11,7,12,22,14,15,12,11,15,19,6,10,6,8,7,10,10,9,7,9,11.00,1.263,0.414
17,Integer subtraction,Numbers & Operations,Subtracting integers (2 − 7),9,7,11,10,14,4,3,4,5,6,3,4,2,3,5,6,7,6,5,8,6.10,-1.883,0.883
18,Integer subtraction,Numbers & Operations,Double negative subtraction (4 − (−3)),12,11,13,12,14,6,5,5,6,9,3,4,2,4,5,7,8,6,6,7,7.25,-1.215,0.809
19,Decimal subtraction,Numbers & Operations,Subtracting decimals (32.5 − 4.05),10,8,10,12,18,11,10,9,12,14,7,10,6,7,7,7,10,5,7,6,9.30,-0.789,0.705
20,Fraction subtraction,Numbers & Operations,Subtracting fractions (2/3 − 3/5),16,16,16,10,14,18,15,16,18,20,16,12,9,15,13,13,18,9,13,13,14.50,0.185,0.449
21,Integer subtraction,Numbers & Operations,Subtracting negative integer (−14 − (−6)),13,10,12,12,14,11,9,8,10,10,4,6,3,4,5,7,8,6,6,7,8.25,-0.760,0.681
22,Integer multiplication,Numbers & Operations,Multiplying integers (−17 × (−6)),11,9,11,10,12,10,10,10,12,11,4,7,4,4,6,7,9,6,7,7,8.35,-1.430,0.796
23,Fraction-whole number multiplication,Numbers & Operations,Multiplying fraction by whole (48 × 3/8),14,12,14,12,18,13,12,12,15,13,9,11,7,8,12,8,9,7,8,8,11.10,-0.900,0.717
24,Whole number multiplication,Numbers & Operations,Multiplying 2-digit numbers (53 × 27),10,10,10,10,10,14,15,14,15,8,7,11,6,7,9,12,14,7,10,12,10.55,-2.059,0.903
25,Fraction multiplication (estimation),Numbers & Operations,Estimating product (15/14 × 7/3),15,14,15,18,16,19,16,15,20,21,12,10,8,10,10,12,17,12,12,15,14.35,-0.895,0.677
26,Integer division,Numbers & Operations,Dividing negative by positive (−240 ÷ 6),11,8,11,12,12,8,8,7,10,9,4,6,3,4,6,7,8,6,7,8,7.75,-1.619,0.840
27,Fraction comparison/ordering,Numbers & Operations,Identifying fraction between 1/3 and 3/4,12,22,19,14,20,21,20,20,22,25,14,10,9,12,14,12,12,9,12,16,15.75,-0.481,0.579
28,Fraction division,Numbers & Operations,Dividing fractions (12/15 ÷ 4/15),16,15,14,15,16,12,14,12,12,15,22,12,9,14,15,11,13,8,11,9,13.25,-0.319,0.553
29,Fraction division,Numbers & Operations,Dividing fractions (1/6 ÷ 2/7),17,17,16,20,20,19,15,14,18,19,24,14,11,16,15,10,13,8,9,8,15.15,-0.312,0.562
30,Equivalent fractions,Numbers & Operations,Identifying equivalent fraction to 1/3,14,19,12,18,22,5,5,6,8,12,11,10,6,8,9,6,7,5,4,10,9.85,-0.722,0.638
31,Fraction division by whole number,Numbers & Operations,Dividing fraction by whole (12/15 ÷ 4),15,16,15,12,16,15,12,13,15,16,18,12,10,13,15,8,9,7,8,12,12.85,-1.921,0.638
32,Whole number divided by fraction,Numbers & Operations,Dividing whole by fraction (100 ÷ 1/2),18,13,17,16,16,11,10,11,15,18,8,11,9,18,14,8,12,6,8,7,12.30,0.667,0.342
